id,ticker,dividend_yield,predicted_high,predicted_low,is_odd,last_updated,company_name,total_dividend_2025,previous_close,live_price_2026,base_yield,live_yield,sector,last_mined,last_live_update,pe_ratio,payout_ratio,pbv,roe,beta
99,BNII.JK,2.9,,,false,2026-03-06 04:26:07.713687+00,Bank Maybank Indonesia Tbk.,5.85691,202,,,,,2026-03-13 16:49:00.435353+00,,9.283088,26.93,0.47438774,5.2950002,0.221
100,BNLI.JK,1.05,,,false,2026-03-06 04:26:09.070063+00,Bank Permata Tbk,30,2860,,,,,2026-03-13 16:49:00.878303+00,,28.915174,30.3,2.256991,8.112001,0.664
101,BOLT.JK,2.15,,,false,2026-03-06 04:26:10.384797+00,Garuda Metalindo Tbk.,20,930,,,,,2026-03-13 16:49:01.441959+00,,15.998624,34.38,2.6600082,16.138001,-0.021
102,BPFI.JK,3.61,,,false,2026-03-06 04:26:11.764922+00,Woori Finance Indonesia Tbk.,9.89,274,,,,,2026-03-13 16:49:01.863021+00,,9.370725,33.810002,0.63797635,6.974,0.194
103,BPII.JK,2.48,,,false,2026-03-06 04:26:13.070115+00,Batavia Prosperindo Internasion,11.4,460,,,,,2026-03-13 16:49:02.285972+00,,35.881435,88.989997,3.2137046,8.3680004,-0.561
104,BRAM.JK,0,,,false,2026-03-06 04:26:14.530719+00,Indo Kordsa Tbk,0,4540,,,,,2026-03-13 16:49:02.736313+00,,,105.76,9578.059,0.441,-0.029
105,BRMS.JK,0,,,false,2026-03-06 04:26:15.839804+00,Bumi Resources Minerals Tbk.,0,790,,,,,2026-03-13 16:49:03.154097+00,,142.59927,0,87777.78,4.5900002,0.836
106,BRNA.JK,0,,,false,2026-03-06 04:26:17.481084+00,Berlina Tbk,0,660,,,,,2026-03-13 16:41:25.349263+00,,41.224236,0,0.7066782,3.69,-0.351
107,BRPT.JK,0,,,false,2026-03-06 04:26:18.971068+00,Barito Pacific Tbk.,0,1370,,,,,2026-03-13 16:49:03.583907+00,,12.46361,0,57083.332,35.876,0.304
108,BSDE.JK,0,,,false,2026-03-06 04:26:20.317129+00,Bumi Serpong Damai Tbk,0,740,,,,,2026-03-13 16:49:03.994877+00,,6.079027,0,0.35752437,5.716,
